codigo_fabricante,descricao_do_produto,marca,preco,estoque,localizacao,preco_promoc_varejo
40506ALC,JUNTA MOTOR UNO/PREMIO 1.5 ALC,FIAT,"41,07","0,000",,
46606EF8,JUNTA MOTOR VW FUSCA/BRASILIA/KOMBI C/RETENTOR,SABO,"197,40","2,000",NA8-04,
46832PAK,JUNTA PESCADOR BOMBA OLEO GOL PAR 1.0 AT 8V 16V GOL 1.0 1.6 GV FO,UNIVE,"7,08","13,000",A4-15,
95AB9451AB,JUNTA SAIDA ESCAP COLET ESCORT ZETEC,FORD,"0,35","0,000",,
11237NAK,JUNTA SAIDA ESCAP CORCEL BEL II 1.4 1.6(OCULOS),UNIVE,"8,75","7,000",B2-12,
11822,JUNTA SAIDA ESCAP CORCEL CHT,UNIVE,"7,30","19,000",NA7-02,
1373A,JUNTA SAIDA ESCAP CORSA MONTA VEC PALIO STRADA 1.8,LAFER,"46,67","6,000",D4-03,
40322,JUNTA SAIDA ESCAP FIAT 147 UNO 1050 1000 1300 15,UNIVE,"12,63","23,000",NA7-02,
JL11121,JUNTA SAIDA ESCAP FIESTA KA ESCORT 1.0 1.6 ZETEC,JUNTA,"10,70","7,000",B2-12,
40622NAK,JUNTA SAIDA ESCAP FIORINO PREMIO FIASA TEMPRA 8V,UNIVE,"15,70","4,000",D4-03,
30212JE,JUNTA SAIDA ESCAP GOL 1.0,VOLKS,"1,49","0,000",,
46837,JUNTA SAIDA ESCAP GOL FOX 1.0 8V POWER KOMBI 1.4,UNIVE,"12,85","6,000",A4-08,
46023NAK,JUNTA SAIDA ESCAP GOL MI 1.6 1.8 EFI 96/,UNIVE,"13,38","3,000",A4-13,
46722,JUNTA SAIDA ESCAP GOL PAR FOX AT 1.0 16V 97/,UNIVE,"11,20","9,000",A4-10,
46020NAK,JUNTA SAIDA ESCAP GOL PARATI FOX AT 1.0 8V 97/,UNIVE,"13,49","6,000",A4-12,
46021NAK,JUNTA SAIDA ESCAP LOGUS ESCORT 1.8 8V POLO GOLF 1.,UNIVE,"6,08","2,000",A4-09,
46021FAF,JUNTA SAIDA ESCAP LOGUS ESCORT 1.8 8V POLO GOLF 1.     METAL,UNIVE,"20,48","8,000",A4-09,
40022,JUNTA SAIDA ESCAP PALIO UNO MILLE SIENA 1.0 1.5,UNIVE,"12,04","9,000",D4-03,
40718,JUNTA SAIDA ESCAP UNO PALIO SIENA STRADA 1.0 1.3 1.4 FIRE 8V,UNIVE,"13,10","16,000",D4-03,
99356,JUNTA SAIDA ESCAP UNO PALIO SIENA STRADA 1.0 1.3 1.4 FIRE 8V,SABO,"40,19","1,000",D4-03,
40522,JUNTA SAIDA ESCAP UNO PREMIO 1.5/1.6 40522NAK,UNIVE,"11,47","5,000",D4-02,
10922,JUNTA SAIDA ESCAP.CHEVETTE,UNIVE,"13,38","7,000",NA7-03,
10822,JUNTA SAIDA ESCAP.MONZA KAD VECTRA S10 1.6/1.8/2.0 /2.2,UNIVE,"9,90","0,000",NA7-03,
10922F1,JUNTA SAIDA ESCAP.MONZA KAD VECTRA S10 1.6/1.8/2.0 /2.2,SABO,"31,27","0,000",NA7-03,
46024,JUNTA SAIDA ESCAP.PAS GOL VOY PAR 1.6 1.8 6 FUROS,UNIVE,"13,37","16,000",NA7-02,
46737,JUNTA SAIDA ESCAP.PASSAT 1.5,UNIVE,"4,01","4,000",A4-11,
46767PAK,JUNTA SAIDA ESCAP.PASSAT 1.6,VOLKS,"1,69","0,000",,
52026508,JUNTA SAIDA ESCAPE UNO PALIO STRADA FIRE EVO,FIAT,"21,89","-1,000",D4-SUP,
11606,JUNTA SEMI-EIXO F350/F4000,UNIVE,"6,49","21,000",B3-01,
10552,JUNTA SEMI-EIXO F600 CHEVROLET,FORD,"1,82","0,000",,
JSRPG16',JUNTA SUP C RETENTOR CITROEN PEUGEOT 1.6 16V 206 307 C3 PICASSO,TAKAO,"560,00","0,000",X,
JSRRE16B,JUNTA SUP MOTOR LOGAN METALICA 1.6 8V 2008/...,TAKAO,"952,96","0,000",X,
79407FLEX,JUNTA SUP MOTOR S/ RET CLIO 1.6 8V SANDERO 1.6 8V FLEX FIBRA,SABO,"522,39","0,000",X,
79520,JUNTA SUP MOTOR S/ RETENTOR CORSA 1.4 1.6 94/96,SABO,"147,35","1,000",C6-SUP,
79112FLEX,JUNTA SUP MOTOR S/RET CORSA MONT 1.8 PALIO STRAD 1.8,SABO,"227,75","1,000",C6-SUP,
79179FLEX,JUNTA SUP MOTOR S/RET GOL 1.0 POWER 01/ GOL GV FOX,SABO,"217,93","1,000",A5-SUP,
79184FLEX,JUNTA SUP MOTOR S/RET KOMBI 1.4 GOL 1.6 POWER GV F,SABO,"220,93","1,000",A5-SUP,
79367,JUNTA SUP MOTOR S/RET MEGA LOGAN 1.6 16V CLIO 1.4 16,RENAU,"243,60","0,000",X,
79378,JUNTA SUPER MOTOR S/ RET FIESTA KA 1.6 99/ ZETEC 8V,SABO,"364,85","1,000",B2-SUP,
79357,JUNTA SUPER MOTOR S/RET ONIX PRISMA CORSA MONTANA 1.4 FLEX,SABO,"315,82","1,000",C6-SUP,
79410FLEX,JUNTA SUPER MOTOR S/RETEN FIBRA - UNO 1.4 EVO 10/ PALIO 1.4 EVO 1,SABO,"250,72","1,000",D4-06,
40825,JUNTA SUPERIOR DA TAMPA DE VALVULA TIPO UNO PREMIO SEVEL 1.6,UNIVE,"18,31","3,000",D5-04,
40311,JUNTA SUPERIOR DO MOTOR - FIAT 147 UNO PREMIO ELBA 1050 1300,UNIVE,"99,83","0,000",D4-06,
46012A/G,JUNTA SUPERIOR DO MOTOR - GOL VOYAGE SANTANA - AP 1.6 E 1.8,UNIVE,"117,64","0,000",A5-01,
10611A/G,JUNTA SUPERIOR DO MOTOR - OPALA / CARAVAN / C10 - 151 E 153,UNIVE,"118,82","0,000",C6-SUP,
46712A/G,JUNTA SUPERIOR DO MOTOR - PASSAT TS 1.6 ATÉ 1985,UNIVE,"29,68","2,000",A5-01,
46711A/G,JUNTA SUPERIOR DO MOTOR - VOYAGE / PASSAT LS 1.5 1974 A 1982,UNIVE,"123,49","1,000",A5-01,
79554,JUNTA SUPERIOR DO MOTOR S/ RETENTOR - UNO PREMIO ELBA 1.6,SABO,"175,46","0,000",,
46735,JUNTA SUPERIOR FILTRO DE OLEO GOL SANTANA PASSAT AP 1.6 1.8,UNIVE,"3,83","7,000",A4-16,
79502,JUNTA SUPERIOR MOTOR C/ RET MONZA KADETT 2.0 92/ GAS,GENER,"144,38","0,000",X,
79651,JUNTA SUPERIOR MOTOR C/ RET PALIO SIENA 1.6 16V GAS,FIAT,"299,78","0,000",D4-05,
79567,JUNTA SUPERIOR MOTOR C/ RET VECTRA 2.2 8V 97/04 VECTRA 2.0 04/ GA,SABO,"280,99","1,000",C6-SUP,
79568FLEXR,JUNTA SUPERIOR MOTOR C/RET ASTRA VECTRA 2.0 16V GAS,SABO,"284,42","0,000",X,
79368FLEXR,JUNTA SUPERIOR MOTOR C/RET CLIO MEGA SCEN LOG 1.6 16V,RENAU,"355,95","0,000",X,
79516,JUNTA SUPERIOR MOTOR C/RET CORSA 1.6 1.8 PALIO 1.8,DIVER,"121,80","0,000",X,
79256FLEXR,JUNTA SUPERIOR MOTOR C/RET GOL 1.0 8V 97/02 FIBRA,SABO,"418,87","1,000",A5 SUP,
79363FLEXR,JUNTA SUPERIOR MOTOR C/RET GOL 1.0 8V POWER 01/ FOX,SABO,"306,05","1,000",A5-SUP,
79647,JUNTA SUPERIOR MOTOR C/RET GOL 1.0 MI 8V 96/ FOX 1.0,VOLKS,"335,76","0,000",A5-SUP,
79514,JUNTA SUPERIOR MOTOR C/RET MONZA KADETT 1.8 ALC 86/,GENER,"117,60","0,000",X,
79685,JUNTA SUPERIOR MOTOR C/RET PALIO 1.0 1.3 16V GAS,FIAT,"262,50","0,000",X,
79493,JUNTA SUPERIOR MOTOR C/RET UNO FIORINO 1.6 ALC,FIAT,"125,00","0,000",X,
79380,JUNTA SUPERIOR MOTOR C/RET UNO PALIO 1.0 1.3 FIRE 8 VAL,SABO,"496,24","1,000",D4-06,
79648,JUNTA SUPERIOR MOTOR C/RET.GOL 1.0 16V JG 80021,VOLKS,"323,40","0,000",X,
79403,JUNTA SUPERIOR MOTOR C3 1.4 (TU3P) 206 207 1.4 8V,SABO,"381,15","0,000",E9-03,
452295,JUNTA SUPERIOR MOTOR C3 1.4 (TU3P) 206 207 1.4 8V,TARAN,"330,59","0,000",E9-03,
80684,JUNTA SUPERIOR MOTOR DOBLO PALIO SIENA 1.0 1.3 16V GAS FLEX,SABO,"362,25","0,000",D4-05,
79547FLEX,JUNTA SUPERIOR MOTOR ESCORT HOBBY GOL AE 1.0 93/96,SABO,"180,73","0,000",X,
79404,JUNTA SUPERIOR MOTOR ESCORT MONDEO FOCUS 1.8 16V,FORD,"111,51","0,000",,
79283,JUNTA SUPERIOR MOTOR FIESTA KA 1.0 ENDURA,FORD,"175,35","0,000",X,
79106,JUNTA SUPERIOR MOTOR PALIO SIENA STRADA 1.6 16V 97/01,SABO,"281,12","0,000",D4-06,
79819FLEX,JUNTA SUPERIOR MOTOR S RETENTOR NOVO KA 1.0 2014/,SABO,"427,47","0,000",B2-SUP,
79519,JUNTA SUPERIOR MOTOR S/RET CORSA 1.0 94/ CELTA 1.0 8V 00/,SABO,"187,80","0,000",C6-SUP,
79377,JUNTA SUPERIOR MOTOR S/RET FIESTA ECOSPORT 1.0 8V FIBRA,SABO,"350,11","1,000",B2-SUP,
122907,JUNTA SUPERIOR MOTOR S/RET FIESTA ECOSPORT 1.0 8V METAL,ELRIN,"168,66","0,000",B2-SUP,
79653,JUNTA SUPERIOR MOTOR S/RET GOL 1.0 8V 98/ FOX METALICA,SABO,"178,50","0,000",A5-SUP,
79255FLEX,JUNTA SUPERIOR MOTOR S/RET GOL PARA 1.0 8V AT EA11 F,SABO,"233,87","0,000",A5-SUP,
79652,JUNTA SUPERIOR MOTOR S/RET GOL PARATI 1.0 16V 97/,VOLKS,"170,10","0,000",X,
79250FLEX,JUNTA SUPERIOR MOTOR S/RET GOL PARATI 1.0 16V AT EA1,SABO,"262,50","0,000",A5-SUP,
79518,JUNTA SUPERIOR MOTOR S/RET PALIO 1.0 1.5 MPFI INJECA,SABO,"186,94","1,000",D4-05,
79198FLEX,JUNTA SUPERIOR MOTOR S/RET PALIO SIENA STRADA 1.4 8V FIRE JUNTA C,SABO,"222,40","0,000",D4-06,
79323FLEX,JUNTA SUPERIOR MOTOR S/RET PALIO SIENA STRADA 1.4 8V FIRE JUNTA C,SABO,"333,90","1,000",D4-05,
79558FLEX,JUNTA SUPERIOR MOTOR S/RET UNO 1.0 1.3 1.5 85/CARBUR,SABO,"174,97","1,000",D4-05,
79257FLEX,JUNTA SUPERIOR MOTOR S/RETENTOR PALIO UNO 1.0 1.3 FIRE (FIBRA,SABO,"202,02","0,000",D4-06,
79398FLEX,JUNTA SUPERIOR MOTOR S/RETENTOR SANTANA 2.0 95/,SABO,"168,42","0,000",X,
79409FLEX,JUNTA SUPERIOR MOTOR SEM RETENTOR PALIO UNO EVO 1.0 8V FLEX,SABO,"254,22","0,000",D4 -06,
JSRAU18T,JUNTA SUPERIOR MOTOR- AUDI 1.8,TAKAO,"732,06","0,000",,
76090,JUNTA SUPORTE FILTRO DE OLEO FIAT PALIO SIENA 1.6 16V ETORQ,SABO,"19,74","2,000",D4-01,
JLKB055,JUNTA SUPORTE FILTRO OLEO MOTOR AMAROK 2.0 16V 10/,VOLKS,"119,70","0,000",X,
11229,JUNTA T.CABECOTE CORCEL 11229NA,UNIVE,"4,25","6,000",B3-04,
11026B,JUNTA T.VALV FIESTA KA COURI ZETEC ROC 1.0/1.6 8V,UNIVE,"26,25","0,000",B2-07,
30426B,JUNTA TAMPA (JOGO) VALV PEUGEOT 206 307 CITROEN 1.6 16V,UNIVE,"19,45","3,000",E9-05,
10418EF,JUNTA TAMPA DE VALVULA CHEVROLET BRASIL C10 C60,SABO,"27,02","0,000",C5-04,
75316,JUNTA TAMPA DE VALVULA NOVO FORD KA 1.0 12V 3 CIL 14/,SABO,"185,97","1,000",B2-05,
40328,JUNTA TAMPA DIANT MOTOR FIAT 1.0 1.3 1.5 NAC,UNIVE,"5,34","4,000",D4-02,
46730,JUNTA TAMPA DIANT MOTOR PASSAT GOL VOY PARA AP 1.6,UNIVE,"8,52","2,000",A4-18,
11228NA,JUNTA TAMPA DISTR CORCEL MOTOR CHT/RENAUT AMIANTO,UNIVE,"12,46","4,000",B3-03,
11228CB,JUNTA TAMPA DISTR CORCEL MOTOR CHT/RENAUT CORTICA,UNIVE,"12,35","6,000",B3-03,
13327,JUNTA TAMPA DISTR JEEP PICK UP WILLYS,FORD,"4,47","0,000",,
73027,JUNTA TAMPA DISTRIB S10 2.5 MAXION,IMPOR,"84,00","0,000",X,
16928,JUNTA TAMPA DISTRIB S10 BLAZE F1000 HS 2.5 2.8 MAX,DIVER,"51,98","0,000",X,
7333439,JUNTA TAMPA DISTRIB.CHEVETTE TDS,UNIVE,"4,41","9,000",C4-24,
75406,JUNTA TAMPA DISTRIBUICAO ARGO 1.8 ETORQ 17/... BRAVO CRONOS PALIO,SABO,"65,60","1,000",D5-07,
10628AG,JUNTA TAMPA DISTRIBUICAO OPALA CARAVAN 4CIL 6CIL,UNIVE,"11,58","4,000",C4-23,
11230,JUNTA TAMPA LATERAL BBA D AGUA CORCEL BEL 69/83,UNIVE,"4,28","8,000",B3-05,
11830,JUNTA TAMPA LATERAL CORCEL 11830NA,UNIVE,"3,83","4,000",B3-06,
10627,JUNTA TAMPA LATERAL OPALA 4 CIL,UNIVE,"16,45","5,000",C4-37,
10727,JUNTA TAMPA LATERAL OPALA 6 CIL,UNIVE,"18,92","7,000",C4-35,
40329,JUNTA TAMPA TRAS MOTOR FIAT 1.0 1.3 1.5 NAC,UNIVE,"3,21","3,000",D4-02,
46729,JUNTA TAMPA TRAS MOTOR PASSAT GOL PAR SAV AP 1.6 1,UNIVE,"7,86","7,000",A4-19,
75663,JUNTA TAMPA VAL FIESTA 1.6 16V 14/ SIGMA FOCU ECOS,SABO,"106,29","3,000",B2-05,
46626EF,JUNTA TAMPA VAL VW FUSCA 1300 1500 1600,SABO,"15,41","2,000",NA6-07,
016627KIT,JUNTA TAMPA VALV (C/8PCS) I30 TUCSON SPORT 2.0 16V,IMPOR,"138,60","0,000",,
JTAHY21,JUNTA TAMPA VALV (C/8PCS) I30 TUCSON SPORT 2.0 16V,TAKAO,"229,30","0,000",X,
14126KB,JUNTA TAMPA VALV (KIT) HONDA CIVIC 1.5 1.6 16V,UNIVE,"63,00","0,000",E9-06,
75631,JUNTA TAMPA VALV (KIT) HONDA CIVIC 1.7 16V,SABO,"213,16","2,000",E9-05,
75961,JUNTA TAMPA VALV ASTRA VECTRA 2.0 2.2 2.4 16V 97/,SABO,"202,46","3,000",C5-01,
75960,JUNTA TAMPA VALV ASTRA VECTRA 2.0 2.2 2.4 8V 97/BORRAC,SABO,"62,06","4,000",NA6-04,
46560CBB,JUNTA TAMPA VALV C/M.LUA GOL SAV AP 1.6 1.8 2.0/95,UNIVE,"19,68","2,000",NA6-04,
220410,JUNTA TAMPA VALV C/M.LUA GOL SAV AP 1.6 1.8 2.0/95,TARAN,"29,63","3,000",NA6-04,
46560EF,JUNTA TAMPA VALV C/M.LUA GOL SAV AP 1.6 1.8 2.0/95,SABO,"48,70","0,000",NA6-04,
75403,JUNTA TAMPA VALV C3 1.4 8V 03/ 206 207 1.4 8V 04/,SABO,"121,10","0,000",E9-04,
1217150BN,JUNTA TAMPA VALV CALIBRA 2.0 16V VECTRA GSI 94/97,GENER,"147,61","0,000",,
10826EF,JUNTA TAMPA VALV CHEVETTE,SABO,"19,28","1,000",C4-38,
10926,JUNTA TAMPA VALV CHEVETTE,UNIVE,"11,49","1,000",C4-38,
75666,JUNTA TAMPA VALV CIVIC ACCORD 1.6 1.8 2.0 16V 07/,SABO,"110,46","0,000",E9-07,
53626,JUNTA TAMPA VALV CIVIC ACCORD 1.6 1.8 2.0 16V 07/,UNIVE,"159,58","0,000",,
75628,JUNTA TAMPA VALV CLIO 1.0 16V 05/ SANDERO LOGAN 07,SABO,"89,44","1,000",E9-04,
76628,JUNTA TAMPA VALV CLIO 1.0 16V 05/SANDERO LOGAN 07 ( COM ANEL ),SABO,"191,58","1,000",E9-06,
96407,JUNTA TAMPA VALV CLIO KANGO MEGA SANDE SYMB0 LOGAN,SABO,"46,31","1,000",E9-05,
37526B,JUNTA TAMPA VALV CLIO TWINGO KANGOO 1.0 8V 09-00/,UNIVE,"48,63","1,000",E9-06,
11226F,JUNTA TAMPA VALV CORCEL I II GOL 1.0 AE 1.6 CHT,SABO,"21,07","0,000",NA6-05,
11226BO,JUNTA TAMPA VALV CORCEL TODOS GOL 1.0 1.6 CHT,UNIVE,"5,34","2,000",NA6-05,
75635,JUNTA TAMPA VALV COROLLA 1.8 16V FIELDER 1.8 16V,SABO,"94,40","1,000",E9-04,
15146B,JUNTA TAMPA VALV COROLLA FIELDER 1.4 1.6 1.8 16V,TOYOT,"36,04","0,000",,
86272,JUNTA TAMPA VALV CORSA 1.0 1.4 1.6 CELTA 8V 94/,SABO,"31,71","3,000",NA6-05,
75019,JUNTA TAMPA VALV CORSA 1.0 1.6 16V (BORRACHA MOLDA,SABO,"144,01","1,000",C5-01,
20171JT,JUNTA TAMPA VALV CORSA 1.0/1.4,UNIVE,"6,69","3,000",NA6-07,
70326,JUNTA TAMPA VALV D10/D20,GENER,"9,24","0,000",,
75611,JUNTA TAMPA VALV ESCORT FOCUS MONDEO 1.8 16V 97/,SABO,"96,00","2,000",B2-08,
40326,JUNTA TAMPA VALV FIAT 1050/1300 CORTICA,FIAT,"5,78","0,000",,
86285,JUNTA TAMPA VALV FIESTA 1.0 1.3 96/99 ENDURA,SABO,"57,91","2,000",B2-08,
122996,JUNTA TAMPA VALV FIESTA KA 1.0 1.6 8V ZETEC ROCAN,ELRIN,"34,93","0,000",B2-07,
340110,JUNTA TAMPA VALV FIESTA KA 1.0 1.6 8V ZETEC ROCAN,TARAN,"78,87","2,000",B2-07,
75022,JUNTA TAMPA VALV FIESTA KA 1.0 1.6 8V ZETEC ROCAN,SABO,"83,07","2,000",B2-07,
75664,JUNTA TAMPA VALV FIESTA KA 1.5 1.6 16V 13/ FOCUS,SABO,"128,51","2,000",B2-06,
JL11246,JUNTA TAMPA VALV FOCUS ECOSPORT MONDEO 2.0 16V DUR,JUNTA,"221,58","0,000",B2-07,
75641,JUNTA TAMPA VALV FOCUS ECOSPORT MONDEO 2.0 16V DUR,SABO,"196,65","3,000",B2-07,
46926ALB,JUNTA TAMPA VALV GOL PAR SAV SANT AP 1.6 1.8 2.0 96/,UNIVE,"35,73","0,000",NA6-06,
75924,JUNTA TAMPA VALV GOL PARATI AT 1.0 16V 97/ GOL PARATI 16V TURBO,SABO,"91,50","1,000",A4-21,
75923,JUNTA TAMPA VALV GOL PARATI AT 1.0 16V 97/ GOL PARATI 16V TURBO,SABO,"90,09","3,000",A4-20,
46833B,JUNTA TAMPA VALV GOL PARATI AT 1.0 16V 97/ GOL PARATI 16V TURBO,UNIVE,"33,93","3,000",A4-21,
46834B,JUNTA TAMPA VALV GOL PARATI AT 1.0 16V 97/ GOL PARATI 16V TURBO,UNIVE,"12,74","3,000",A4-20,
584808,JUNTA TAMPA VALV GOL SAV PARAT AP 1.6 1.8 2.0 96/,ELRIN,"62,48","0,000",NA6-06,
75943,JUNTA TAMPA VALV GOL SAV PARAT AP 1.6 1.8 2.0 96/,SABO,"119,59","0,000",NA6-06,
11725B,JUNTA TAMPA VALV KA FIESTA COURIE 1.4 16 VAL ZETEC,UNIVE,"21,46","0,000",B2-06,
75612,JUNTA TAMPA VALV KA FIESTA COURIE 1.4 16 VAL ZETEC,SABO,"62,78","3,000",B2-06,
75616,JUNTA TAMPA VALV L200 L300 PAJERO HR H100 2.5 92/,SABO,"47,22","0,000",E9-05,
10826,JUNTA TAMPA VALV MONZA 1.6/1.8 /86 FURO 6 MM,UNIVE,"21,00","0,000",C4-36,
86282,JUNTA TAMPA VALV MONZA KADETT 1.8 2.0 87/ CORTICA,SABO,"91,50","4,000",NA6-05,
75410,JUNTA TAMPA VALV ONIX PRISMA 1.0 1.4 8V 12/ C/4 BOBINAS,SABO,"96,32","2,000",C5-02,
10726EF,JUNTA TAMPA VALV OPALA 6 CIL,SABO,"42,85","2,000",C4-41,
10726CB,JUNTA TAMPA VALV OPALA 6 CIL,UNIVE,"30,30","1,000",C4-41,
10626,JUNTA TAMPA VALV OPALA CARAVAN 4 CIL,UNIVE,"16,89","1,000",C4-40,
10626EF,JUNTA TAMPA VALV OPALA CARAVAN 4 CIL,SABO,"24,02","1,000",C4-39,
85410,JUNTA TAMPA VALV PALIO SIENA DOBL 1.0 1.3 16V FIRE,SABO,"93,31","0,000",D5-02,
75405,JUNTA TAMPA VALV PALIO STRADA 1.6 1.8 16V E-TORQ 1,SABO,"373,19","1,000",D5-02,
75505,JUNTA TAMPA VALV PALIO STRADA 1.6 1.8 16V E-TORQ 1,SABO,"242,35","1,000",D5-02,
241010,JUNTA TAMPA VALV PALIO STRADA 1.8 CORSA 98/ VHC CEL,TARAN,"39,32","6,000",NA6-04,
76351,JUNTA TAMPA VALV PALIO STRADA 1.8 CORSA 98/ VHC CEL,SABO,"55,34","-1,000",NA6-04,
598190,JUNTA TAMPA VALV PALIO STRADA 1.8 CORSA 98/ VHC CEL,ELRIN,"32,27","0,000",NA6-04,
46726,JUNTA TAMPA VALV PASSAT VOYAGE 1.5,UNIVE,"16,54","10,000",A4-04,
30524B,JUNTA TAMPA VALV PEUGEOT 206 307 406 XSARA 2.0 16V,UNIVE,"18,24","4,000",E9-06,
13337,JUNTA TAMPA VALV PICK UP WILLYS JEEP RURAL F75 6 CIL,FORD,"44,10","0,000",,
940788530294,JUNTA TAMPA VALV S10 BLAZER FRONTIER SPRINT,MWM,"137,16","1,000",C5-01,
75962,JUNTA TAMPA VALV S10 BLAZER FRONTIER SPRINT,SABO,"56,68","0,000",C5-01,
75325,JUNTA TAMPA VALV S10 BLAZER RANGER SPRINT 2.5 2.8 DIESEL,SABO,"102,11","3,000",C5-01,
76352,JUNTA TAMPA VALV SPRINTER RANGER S10 BLAZER SILVER,SABO,"127,05","0,000",X,
75950,JUNTA TAMPA VALV TEMPRA 2.0 16V BORRACHA MOLDADA,SABO,"57,75","0,000",D5-04,
40226,JUNTA TAMPA VALV TEMPRA TIPO 2.0 8V (BORRACHA),UNIVE,"18,96","4,000",D5-04,
40726,JUNTA TAMPA VALV TIPO 1.6 8V 93/95,FIAT,"10,16","0,000",,
75613,JUNTA TAMPA VALV UNO PALIO 1.0 1.3 1.4  FIRE 8V,SABO,"51,27","3,000",NA6-04,
270510,JUNTA TAMPA VALV UNO PALIO 1.0 1.3 1.4  FIRE 8V,TARAN,"33,56","0,000",NA6-04,
96015,JUNTA TAMPA VALV UNO PALIO 1.0 1.3 1.5 FIASA (PAPEL,SABO,"11,55","5,000",D5-02,
JL40125K,JUNTA TAMPA VALV UNO PALIO SI 1.0 1.4 EVO FIRE 10/,JUNTA,"146,88","0,000",D5-02,
75629,JUNTA TAMPA VALV UNO PALIO SI 1.0 1.4 EVO FIRE 10/ ((TAMPA ALUMIN,SABO,"58,27","1,000",D5-02,
40727B,JUNTA TAMPA VALV UNO PALIO SIENA 1.0 1.3 FIRE 8V,FIAT,"17,33","0,000",,
40526,JUNTA TAMPA VALV UNO PREMIO ELBA PALIO 1500 ARGENT,UNIVE,"19,70","5,000",D5-03,
40626,JUNTA TAMPA VALV UNO PREMIO ELBA PALIO 1600 8V,UNIVE,"9,24","0,000",D5-03,
46126,JUNTA TAMPA VALV VW FUSCA TDS ((APLICAR 37546626EF,UNIVE,"7,72","0,000",A4-07,
75434,JUNTA TAMPA VALVULA AMAROK 2.0 16V TDI DIESEL 2010/...,SABO,"351,65","1,000",A5-02,
75659,JUNTA TAMPA VALVULA ARGO MOBI UNO 1.0 6V 3 CIL,SABO,"185,44","1,000",D5-02,
75700,JUNTA TAMPA VALVULA C DEFLETOR C3 C4 1.6 16V 2009/...,SABO,"366,88","1,000",E9-03,
75411,JUNTA TAMPA VALVULA C4 2.0 16V 2005/... 307 408 2.0 16V,SABO,"125,24","2,000",E9-04,
75701,JUNTA TAMPA VALVULA C4 2.0L 16V 09/16,SABO,"753,45","0,000",X,
75317,JUNTA TAMPA VALVULA CRUZE 1.8 16V FLEX 11/... TRACKER 1.8 16V 13/,SABO,"185,48","2,000",C5-02,
3654,JUNTA TAMPA VALVULA CUMMINS 4/6 CILINDROS,PATRA,"29,61","2,000",C5-01,
70490258E,JUNTA TAMPA VALVULA D20 93/97 MAXION,MWM,"88,80","1,000",C5-01,
51026EF,JUNTA TAMPA VALVULA FIAT 1050 1300/UNO/PALIO CORTICA FIASA,SABO,"24,89","2,000",NA6-07,
46827ALB,JUNTA TAMPA VALVULA GOL PAR 1.0 AT 8V,UNIVE,"30,39","0,000",NA6-06,
75028,JUNTA TAMPA VALVULA GOL PARA AT 1.0 8V 96/ 02946827B,SABO,"128,69","2,000",NA6-06,
46827KB,JUNTA TAMPA VALVULA GOL PARATI AT 1.0 8V 97/ C/ 3,UNIVE,"40,12","0,000",NA6-06,
75315,JUNTA TAMPA VALVULA HB20 1.0 CV 3CIL  (KAPPA) 2012/...,SABO,"225,31","0,000",E9-07,
75318,JUNTA TAMPA VALVULA HB20 1.6 16V 15/... CRETA 1.6 16V 17/...,SABO,"216,18","0,000",E9-07,
75773,JUNTA TAMPA VALVULA LIVINA 1.8 2.0 09/13,SABO,"110,23","0,000",X,
75621,JUNTA TAMPA VALVULA PEUGEOT 1.0 16V D4D 01/04,SABO,"171,53","1,000",E9-04,
97013,JUNTA TAMPA VALVULA SIENA BRAVA 1.6 16V 1999/...,SABO,"72,89","1,000",D5-04,
1217119BN,JUNTA TAMPA VALVULA STILO MERIVA 1.8 16V 2004/...,BASTO,"168,00","0,000",C5-01,
75404,JUNTA TAMPA VALVULA STRADA ARGO 1.8 16V TORO 2016/...,SABO,"290,09","1,000",D5-02,
86263,JUNTA TAMPA VALVULA TIPO 1.6 93/ UNO 1.6 11-89/ SEVEL,SABO,"49,00","2,000",D5-03,
55248941,JUNTA TAMPA VALVULA TORO COMPASS RENEGADE,FIAT,"170,98","1,000",D5-02,
85427,JUNTA TAMPA VALVULA TORO COMPASS RENEGADE,SABO,"159,56","2,000",D5-02,
75772,JUNTA TAMPA VALVULA TUCSON 2.0 16V G4GC 05/14,SABO,"213,88","1,000",E9-07,
75305,JUNTA TAMPA VALVULA UNO EVO 2011/ STRADA MOBI 1.0 1.4 ((TAMPA PLA,SABO,"99,46","3,000",D5-02,
0291031611,JUNTA TP DISTR GOL 1.0,VOLKS,"1,32","0,000",,
90106432,JUNTA TP DISTR MONZA,GENER,"1,39","0,000",,
46729GAS,JUNTA TP DISTR PASS/ KOM/SANT,VOLKS,"2,18","0,000",,
40275JT,JUNTA TP GIRABREQUIM FIAT,FIAT,"1,27","0,000",,
30211JV,JUNTA TP VALV GOL 1000,VOLKS,"2,97","0,000",,
40341NA,JUNTA TUBO BOMBA D AGUA FIAT 147 PALIO UNO TODOS,UNIVE,"4,63","18,000",D4-01,
40337,JUNTA VAL TERM FIAT 147 UNO PREMIO MILLE.,UNIVE,"5,34","12,000",D4-01,
40033,JUNTA VALV TERM PALIO SIE 1.0 1.5 FIOR STRA 1.5 8V,UNIVE,"6,54","2,000",D4-01,
40244,JUNTA VALV TERM TEMPRA 2.0 MPI 16V 91/,UNIVE,"2,40","13,000",D4-01,
