codigo_fabricante,descricao_do_produto,marca,preco,estoque,localizacao,preco_promoc_varejo
2907,ACABAMENTO DO PARALAMA TRASEIRO ESQ ECOSPORT 2008/2012,DTS,"166,03","2,000",ACB-04,
DEW15522,ACABAMENTO FECHO DIR ESQ TAMPA TRAS PAMPA,DEWPA,"8,28","4,000",B7-02,
110020,ACABAMENTO INF TAMPA TRAS FIORINO BAU 88/ TODAS,NEWKA,"88,73","1,000",SC -3-LAT,
EK2170,ACABAMENTO INT RETROVISOR PALIO 4 PTA 97/05 C FURO LD,ENGEK,"61,48","0,000",X,
EK2171,ACABAMENTO INT RETROVISOR PALIO 4 PTA 97/05 C FURO LE,ENGEK,"61,48","0,000",X,
151026,ACABAMENTO INTERNO PORTA MALA TAMPA TRAS GOL 95/ GII GIII PARATI,NEWKA,"150,07","2,000",SE -3-LAT,
EK2101,ACABAMENTO INTERNO RETROVISOR ESQ FIESTA 2003/,ENGEK,"122,57","0,000",H11-04,
21831,ACABAMENTO MACAN INTERNA PORTA DIANT ESQ GOL PARATI 99/ GIII PRET,MACAN,"43,44","0,000",I1-072,
EK0411,ACABAMENTO MACAN INTERNA PORTA DIANT ESQ GOL PARATI 99/ GIII PRET,ENGEK,"21,11","1,000",I1-072,
30202,ACABAMENTO MACANETA INTERNA CORCEL II BELINA II DEL REY PAMPA,MACAN,"3,47","0,000",H14-33,
41134,ACABAMENTO MACANETA INTERNA PORTA DIANT DIR CORSA 99/02 TIGRA PRE,MACAN,"65,10","4,000",I1-118,
41133,ACABAMENTO MACANETA INTERNA PORTA DIANT ESQ CORSA 99/02 TIGRA PRE,MACAN,"65,10","3,000",I1-118,
41136,ACABAMENTO MACANETA INTERNA PORTA TRAS DIR CORSA 94/ P/VIDRO ELET,MACAN,"94,10","1,000",I1-118,
41135,ACABAMENTO MACANETA INTERNA PORTA TRAS ESQ CORSA 94/ P/VIDRO ELET,MACAN,"77,69","3,000",I1-118,
20200,ACABAMENTO MACANETA INTERNA VW SEDAN BRASILIA 77/,MACAN,"8,40","6,000",I1-006,
1472186,ACABAMENTO PARACHOQUE DIANT CROSSFOX SPACEFOX 10/15,CHG,"183,39","1,000",H1003,
172PDD,ACABAMENTO PARALAMA DIANT DIR CORSA 94/ TODOS PRETO LISO,DTS,"58,99","1,000",ACB-02,
8234,ACABAMENTO PARALAMA DIANT DIR CORSA 94/ TODOS PRETO LISO,BLAWE,"54,03","0,000",ACB-02,
163PDD,ACABAMENTO PARALAMA DIANT DIR CORSA 94/ TODOS PRETO TEXTURIZADO,DTS,"62,06","2,000",ACB-01,
174PDD,ACABAMENTO PARALAMA DIANT DIR NOVO CORSA 02/12 PRETO,DTS,"93,98","0,000",ACB-03,
100220208,ACABAMENTO PARALAMA DIANT DIR PALIO WAY 14/,FIAT,"128,10","0,000",X,
3450,ACABAMENTO PARALAMA DIANT DIR STRADA 09/13 CINZA TEXT,DTS,"474,19","2,000",ACB-06,
3410,ACABAMENTO PARALAMA DIANT DIR STRADA ADVENTURE 02/04 WORKING 02/0,DTS,"162,51","2,000",ACB-06,
3408,ACABAMENTO PARALAMA DIANT DIR STRADA PALIO ADVE 05/ /,DTS,"149,30","1,000",ACB-06,
100175613,ACABAMENTO PARALAMA DIANT DIR STRADA TREEKING 09/11,FIAT,"91,08","0,000",X,
049040,ACABAMENTO PARALAMA DIANT DIR STRADA TREKKING 12/14 P,NEWKA,"183,79","1,000",ACB-06,
012052,ACABAMENTO PARALAMA DIANT DIR UNO WAY 04/ CINZA,NEWKA,"109,33","1,000",ACB-05,
3247,ACABAMENTO PARALAMA DIANT DIR UNO WAY 04/ CINZA,DTS,"116,54","1,000",ACB-05,
3243,ACABAMENTO PARALAMA DIANT DIR UNO WAY 04/ PRETO,DTS,"121,78","1,000",ACB-05,
172PDE,ACABAMENTO PARALAMA DIANT ESQ CORSA 94/ TODOS PRETO LISO,DTS,"58,99","2,000",ACB-02,
8233,ACABAMENTO PARALAMA DIANT ESQ CORSA 94/ TODOS PRETO LISO,BLAWE,"53,92","0,000",ACB-02,
163PDE,ACABAMENTO PARALAMA DIANT ESQ CORSA 94/ TODOS PRETO TEXTURIZADO,DTS,"62,06","3,000",ACB-01,
174PDE,ACABAMENTO PARALAMA DIANT ESQ NOVO CORSA 02/12 PRETO LISO,DTS,"94,50","4,000",ACB-03,
100220218,ACABAMENTO PARALAMA DIANT ESQ PALIO WAY 14/,FIAT,"297,15","0,000",X,
3449,ACABAMENTO PARALAMA DIANT ESQ STRADA 09/13 CINZA TEXT,DTS,"474,19","1,000",ACB-06,
3409,ACABAMENTO PARALAMA DIANT ESQ STRADA PALIO ADVE 05/ /,DTS,"156,25","1,000",ACB-06,
100175615,ACABAMENTO PARALAMA DIANT ESQ STRADA TREEKING 09/11,FIAT,"91,08","0,000",X,
049039,ACABAMENTO PARALAMA DIANT ESQ STRADA TREKKING 12/14 P,NEWKA,"183,79","1,000",ACB-06,
3411,ACABAMENTO PARALAMA DIANT ESQ STRADA WORKING RESTYLING 02/07,DTS,"162,51","1,000",ACB-06,
