Produto,Descrição,Localização,Código Família,Quant. Estoque,Preço Venda,Unidade
ATT101,ABRACADEIRA ESCAPAMENTO VW C/PARAFUSO,E-212,ABRAC,0,"3,57",PC
1J0411336/D,ABRACADEIRA ESTABILIZADOR GOLF 99/...,D-244,ABRAC,1,"93,68",PC
46308685,ABRACADEIRA FIAT,E-199,ABRAC,4,"29,40",PC
012A80,ABRACADEIRA HOMOCINETICA UNIVERSAL VW/FORD,,ABRAC,0,"6,06",PC
1050,ABRACADEIRA INJECAO ELETRONICA UNIVERSAL,E-183,ABRAC,0,"2,27",PC
"A9,5",ABRACADEIRA P/BOMBA INJECAO ELETRICA,E-183,ABRAC,8,"6,00",PC
1637,ABRACADEIRA PLASTICA UNIVERSAL,,ABRAC,1408,"1,50",PC
ABR,ABRACADEIRA PLASTICA UNIVERSAL,,ABRAC,656,"0,63",PC
012A83,ABRACADEIRA ROSCA 64X83 * A83 *,E-192,ABRAC,61,"13,00",PC
A108,ABRACADEIRA ROSCA A108,E-199,ABRAC,18,"16,00",PC
A103,"ABRACADEIRA ROSCA JANELA ( FITA 9MM ) 103X98,5MM",E-199,ABRAC,26,"15,00",PC
A32,ABRACADEIRA ROSCA SEM FIM,,ABRAC,0,"4,05",PC
012A51,ABRACADEIRA ROSCA SEM FIM 1 1/2 A 2,,ABRAC,98,"11,00",PC
012A44,ABRACADEIRA ROSCA SEM FIM 1 1/4 A1 3/4,E-189,ABRAC,367,"10,00",PC
012A57,ABRACADEIRA ROSCA SEM FIM 1 3/4 A2 1/4,E-190,ABRAC,66,"10,00",PC
012A38,ABRACADEIRA ROSCA SEM FIM 1 A 1 1/2,E-188,ABRAC,127,"9,90",PC
012A19,ABRACADEIRA ROSCA SEM FIM 1/2 A 3/4,,ABRAC,96,"5,50",PC
012A22,ABRACADEIRA ROSCA SEM FIM 1/2 A 7/8,E-185,ABRAC,258,"5,50",PC
012A14,ABRACADEIRA ROSCA SEM FIM 12/14,,ABRAC,9,"0,66",PC
012A64,ABRACADEIRA ROSCA SEM FIM 2 A 2 1/2,E-190,ABRAC,62,"10,00",PC
012A101,ABRACADEIRA ROSCA SEM FIM 3 1/2 A 4,,ABRAC,0,"8,91",PC
012A89,ABRACADEIRA ROSCA SEM FIM 3 A 3 1/2,E-192,ABRAC,65,"6,30",PC
012A32,ABRACADEIRA ROSCA SEM FIM 3/4 A 1 1/4,E-186,ABRAC,107,"6,50",PC
